name, SMILES, reaction_center, len(conformations)
comp1+_1, C1=NN[CH+]C1, 2, 1 , charge=1
comp1+_2, C1=NNC[CH+]1, 3, 1 , charge=1
comp1+_3, C1=CN[N+]C1, 1, 1 , charge=1
comp10+_1, C1=NSC[CH+]1, 0, 1 , charge=1
comp10+_2, C1=NS[CH+]C1, 1, 1 , charge=1
comp10+_3, C1=CS[N+]C1, 2, 1 , charge=1
comp103+_1, C[C+]1CC(=O)N=CN1, 3, 4 , charge=1
comp103+_2, CC1=CC(=O)[N+]CN1, 6, 4 , charge=1
comp108+_1, NC1=C[N+]CC=N1, 0, 4 , charge=1
comp108+_2, N[C+]1CN=CC=N1, 2, 4 , charge=1
comp108+_3, NC1=CN=CC[N+]1, 5, 4 , charge=1
comp147+_1, C1=NC=C(C2=N[N+]CN2)N=C1, 2, 4 , charge=1
comp147+_2, C1=NC[C+](C2=NN=CN2)N=C1, 6, 4 , charge=1
comp147+_3, C1=NN=C(C2=C[N+]CC=N2)N1, 8, 4 , charge=1
comp147+_4, C1=NC=C(C2=NN=CN2)[N+]C1, 9, 4 , charge=1
comp15+_1, CN1C=N[CH+]C1, 1, 4 , charge=1
comp15+_2, CN1C=NC[CH+]1, 2, 4 , charge=1
comp15+_3, CN1C=C[N+]C1, 4, 4 , charge=1
comp189+_1, C1=CN2[CH+]CC(C3=CSC=C3)=CC2=N1, 1, 4 , charge=1
comp189+_2, C1=CN2C[CH+]C(C3=CSC=C3)=CC2=N1, 2, 4 , charge=1
comp189+_3, C1=CC(C2=CC3=NC[CH+]N3C=C2)=CS1, 7, 4 , charge=1
comp189+_4, C1=CC(C2=CC3=N[CH+]CN3C=C2)=CS1, 8, 4 , charge=1
comp189+_5, C1=CN2C=CC(C3=CS[CH+]C3)=CC2=N1, 10, 4 , charge=1
comp189+_6, C1=CN2C=CC(C3=CSC[CH+]3)=CC2=N1, 11, 4 , charge=1
comp189+_7, C1=CN2C=C[C+](C3=CSC=C3)CC2=N1, 5, 4 , charge=1
comp189+_8, C1=CN2C=CC([C+]3C=CSC3)=CC2=N1, 13, 4 , charge=1
comp197+_1, CC1=NC[CH+]NC1=O, 0, 4 , charge=1
comp197+_2, CC1=N[CH+]CNC1=O, 6, 4 , charge=1
comp25+_1, NC1=N[CH+]CC=N1, 0, 1 , charge=1
comp25+_2, NC1=NC[CH+]C=N1, 1, 1 , charge=1
comp25+_3, NC1=NC=CC[N+]1, 5, 1 , charge=1
comp301+_1, CC(=O)C1=CC=C2N[CH+]CC2=N1, 6, 7 , charge=1
comp301+_2, CC(=O)C1=CC=C2NC[CH+]C2=N1, 7, 7 , charge=1
comp301+_3, CC(=O)[C+]1CC=C2NC=CC2=N1, 1, 7 , charge=1
comp301+_4, CC(=O)C1=CC[C+]2NC=CC2=N1, 2, 7 , charge=1
comp32+_1, NC1=NN=C(Cl)[CH+]C1, 0, 1 , charge=1
comp32+_2, NC1=NN=C(Cl)C[CH+]1, 1, 1 , charge=1
comp320+_1, ClC1=C2C[CH+]NC2=CC=N1, 7, 1 , charge=1
comp320+_2, ClC1=C2[CH+]CNC2=CC=N1, 8, 1 , charge=1
comp320+_3, ClC1=C2C=CNC2=CC[N+]1, 1, 1 , charge=1
comp320+_4, ClC1=C2C=CN[C+]2CC=N1, 2, 1 , charge=1
comp325+_1, CC1=NC=C2N[CH+]CC2=C1, 6, 4 , charge=1
comp325+_2, CC1=NC=C2NC[CH+]C2=C1, 7, 4 , charge=1
comp325+_3, CC1=NC[C+]2NC=CC2=C1, 2, 4 , charge=1
comp325+_4, CC1=NC=C2NC=C[C+]2C1, 5, 4 , charge=1
comp335+_1, C1=CC2=CC[CH+]N=C2N1, 0, 1 , charge=1
comp335+_2, C1=CC2=C[CH+]CN=C2N1, 1, 1 , charge=1
comp335+_3, C1=CN=C2N[CH+]CC2=C1, 6, 1 , charge=1
comp335+_4, C1=CN=C2NC[CH+]C2=C1, 7, 1 , charge=1
comp335+_5, C1=CN=C2NC=C[C+]2C1, 5, 1 , charge=1
comp35+_1, C1=CC2=CC[CH+]C=C2N1, 0, 1 , charge=1
comp35+_2, C1=CC2=C[CH+]CC=C2N1, 1, 1 , charge=1
comp35+_3, C1=CC=C2N[CH+]CC2=C1, 6, 1 , charge=1
comp35+_4, C1=CC=C2NC[CH+]C2=C1, 7, 1 , charge=1
comp35+_5, C1=CC[C+]2NC=CC2=C1, 2, 1 , charge=1
comp35+_6, C1=CC[C+]2C=CNC2=C1, 5, 1 , charge=1
comp353+_1, C1=NNC2=CC[CH+]C=C12, 0, 1 , charge=1
