comp402  c1c(n(cc1)C1COC1)C=O
comp437  c1ccc(o1)Sc1ccccc1
comp413  c1ccc(s1)/C=N/N=C/c1sccc1
comp1  n1ccc[nH]1
comp15  n1(ccnc1)C
comp6  c1(ccno1)C
comp43  c1cnc(o1)c1ccccc1
comp10  c1ccns1
comp62  c1scc(n1)C
comp147  n1nc[nH]c1c1cnccn1
comp488  c1cccc(c1)N(=O)=O
comp70  c1cccc(n1)OC
comp77  c1nccc(c1)c1ccc(=O)[nH]c1
comp32  c1cc(nnc1N)Cl
comp25  c1cnc(nc1)N
comp99  [nH]1cccnc1=O
comp103  n1c(=O)cc([nH]c1)C
comp108  c1ncc(nc1)N
comp197  c1nc(c(=O)[nH]c1)C
comp472  c12c(cco1)n(c(c2)C(=O)OC)C(=O)OC(C)(C)C
comp471  c1cc2c(s1)cco2
comp418  s1c(nn2c1nc(c2)c1ccccn1)S(=O)(=O)N
comp35  c1ccc2c(c1)cc[nH]2
comp470  c1ccc2c(c1)occ2
comp423  c1ccc2c(c1)cc(s2)B1OC(C(O1)(C)C)(C)C
comp353  c1ccc2c(c1)[nH]nc2
comp377  c1c(cc2c(c1)nc([nH]2)C)C
comp335  c1cnc2c(c1)cc[nH]2
comp325  c1(ncc2c(c1)cc[nH]2)C
comp320  n1ccc2c(c1Cl)cc[nH]2
comp301  c1(ccc2c(n1)cc[nH]2)C(=O)C
comp189  c1(ccn2c(c1)ncc2)c1ccsc1
comp462  c1cnc2c(c1)cc(o2)C
comp480  n1ccc2c(c1)oc(c2)C
comp482  c1nc(c2c(c1)occ2)N
comp439  c1(ccc2c(n1)cco2)I
