comp274 0,2,4,12,14,16 0,1,2,3,4,12,13,14,15,16
comp276 17 16,17,23,37,39
comp277 5 3,5
comp428 2 2
comp488 0,2 0,2
comp489 0,2 0,2
comp490 0,2 0,2
comp493 0,2 0,2
comp494 0,2 0,2,3,5
comp495 1 1,3,5
comp496 0,2 0,2
comp497 2 0,2
comp498 1 1,5
comp499 2 2
comp500 3,5 1,3,5
comp501 1 1,2,5
comp502 1,3,5 1,3,5
comp503 3,5 3,5
comp504 1 1,3,5
comp509 3 1,3
comp511 3,8 3,5,8,12
comp514 2 2,5
comp515 2,5 2,5
comp516 1,3 1,3
comp517 1,3 1,3
comp518 0,4 0,2,4
comp519 3 1,3
comp520 2 2
comp521 3 1,3
comp522 4 0,4
comp523 20 20
comp526 0,4 0,4
comp529 1,5 1,3,5
comp530 1 1
comp531 14,16 14,16
comp532 0,2 0,2
comp534 2 0,2
comp535 2 0,2,4
comp536 0,4 0,4
comp537 2 0,2
comp539 0,4 0,4
comp540 0,4 0,4
comp541 2 0,2
comp542 0,4 0,4
comp543 0,4 0,4
comp546 0,4 0,4
comp549 0,4 0,4
comp550 0,4 0,4
comp551 0,2 0,2
comp552 10 10,12
comp553 0 0
comp554 2 2,4
comp555 2 0,2
comp556 0,2 0,2
comp558 0,4 0,4
comp559 8 8
comp560 0,4 0,4
comp562 2 2
comp563 0,4 0,4
comp564 0 0
comp566 0,2 0,2
comp567 11,13 11,13
comp568 2 0,2
comp569 0,4 0,4
comp570 11 11
comp572 0,4 0,4
comp571 1,3 1,3,5
comp573 0,4 0,4
comp575 4 4
comp576 4 4
comp577 4 4
comp578 4 4
comp579 3 3,5
comp582 8,10 8,10
comp583 3 3,5
comp584 3,5 3,5
comp492 0,2 0,2,5
comp505 2 0,2,4
comp524 0,2,4 0,2,4
comp528 1 1,5
comp545 2 0,2
comp547 1 1,3,5
comp561 2,4 0,2,4
comp565 3 1,3,5
comp508 0,4 0,4
comp533 2 2
