comp434 c1ccc(o1)c1c(cc(cc1)N(=O)=O)C(F)(F)F
comp435 c1ccc(o1)c1c(cc(cc1)N(=O)=O)OC
comp437 c1ccc(o1)Sc1ccccc1
comp438 c1(ccc(o1)Sc1ccccc1)C
comp441 c1c(ccc(c1)n1c(c(nn1)c1ccco1)C)OC
comp442 c1cnc2c(c1)oc(n2)c1ccco1
comp444 c1c(nc(nn1)c1ccco1)/C(=N/OC)/C
comp446 c12c(nsn1)c(ccc2c1ccco1)c1occc1
comp449 [C@H]12C([C@@H]([C@H]([C@@H]3[C@]1(OC(O3)(C)C)OC)c1ccco1)NC(=O)C#C)OC(O2)(C)C
comp450 [C@H]12C([C@@H]([C@H]([C@@H]3[C@]1(OC(O3)(C)C)OC)c1ccco1)NC(=O)C=C)OC(O2)(C)C
comp451 C1(O[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)C2=O)c1occc1)NC(=O)C=C)OC(=O)OC)(C)C
comp452 c1cc(oc1)/C=C/C#N
comp453 c1cc(oc1)CCCN1C(=O)C[C@@H](C1=O)O
comp454 c1ncc(n1C)c1occc1
comp465 c1ccc(o1)CP(=O)(OCC)OCC
comp466 c1ncnc(c1)c1cc2c(nc1c1ccco1)[nH]c(=O)[nH]2
comp469 c1ccc2c(c1)nc(s2)c1occc1
comp474 c1cnc2n(c1)c(cn2)c1occc1
comp476 c1ccc2n(c1Cl)nc(c2C=O)c1ccco1
comp477 c1(ccc(s1)c1occc1)[Si](C)(C)C
comp478 N(C(C)C)(C(C)C)B(c1occc1)c1ccco1
comp479 c1cc(c(o1)C(=O)N(OC)C)C
comp483 c1ccc(o1)/C=C/C=C1C(=O)OC(OC1=O)(C)C
comp484 c1ccc(o1)[Ge](CC)(CC)CC
comp485 c1oc2c(c1C)C(=O)[C@H]1[C@@](CCC=C(C2)C)(C)O1
comp486 c1(=O)[nH]c(=O)c(n[nH]1)c1ccco1
comp443 c1(cocc1)B1OC(C(O1)(C)C)(C)C
comp475 c1c(nc(nc1Cl)c1ccco1)n1nccc1
