comp1 n1ccc[nH]1
comp2 n1cccn1c1ncccn1
comp3 n1ccc(n1c1c(cccc1)C)N
comp4 n1c(cc(n1c1nnc(cc1)Cl)C)C
comp5 c1cc(n[nH]1)c1ccc(c(c1)OC)[N+](=O)[O-]
comp50 c1c[nH]nc1c1ccc(cc1)[N+](=O)[O-]
comp51 c1c(c2cc(sc2)C)n[nH]c1
comp52 c1cnc(s1)c1n[nH]c(c1)C(OC)OC
comp53 c1c(nn(c2nc3c(s2)cccc3)c1c1ccc(cc1)F)C(C)C
comp54 c1nc(ncc1)n1nc(cc1c1ccc(cc1)F)C(C)C
comp55 c1nc(cnc1)n1c(cc(n1)C(C)C)c1ccc(cc1)F
comp56 c1c(c2c[nH]nc2c2ccc(cc2)F)ccnc1
comp216 c1c(cc(nc1n1cccn1)n1cccn1)N
comp278 C(=O)(N1Cc2n(C(C1)C(F)(F)F)nc(c2)c1ccc(c(c1)Cl)F)OC(C)(C)C
comp392 n1(ccc(n1)C(=O)OCC)C(F)F
comp397 c1(ccn(n1)C)C(F)F
comp421 c1(B2OC(C(O2)(C)C)(C)C)n(ncc1)C
comp599 CN1C([B-](F)(F)F)=CC(C2=CC=CC=C2)=N1
comp600 CN1C([B-](F)(F)F)=CC(C2=CC=C(OC)C=C2)=N1
comp601 CN1C([B-](F)(F)F)=CC(C2=CC=C(C(F)(F)F)C=C2)=N1
