comp14 c1c(nc[nH]1)C(=O)OC
comp15 n1(ccnc1)C
comp16 c1ncc(n1C)c1ccccc1
comp17 c1ncc(n1C)c1cc(c(c(c1)OC)OC)OC
comp58 n1(ccnc1I)C
comp125 n1(c(cnc1)c1cccnc1)C
comp126 n1(c(cnc1)c1ccc(OC)cc1)C
comp127 c1c(ccc(c2n(Cc3ccccc3)cnc2)c1)OC
comp155 c1cn(c(n1)Br)C
comp156 c1cn(c(n1)SC)C
comp157 c1cn(c(n1)C=O)C
comp158 c1cn(cn1)Cc1ccccc1
comp160 c1cn(c(n1)N(=O)=O)C
comp161 c1cn(c(n1)C(=O)C)C
comp162 c1cn(c(n1)C)CCOC
comp165 c1cn(c(n1)c1ccncc1)C
comp166 c1cn(c(n1)c1ccc(cc1)OC)C
comp171 c1cnc(n1c1cccc(c1)C=O)c1c(cc(c(c1)Cl)OCc1ccccc1)OCc1ccccc1
comp173 c1cn2c(n1)N(C(=O)[C@]2(Cc1ccc(cc1)c1cncnc1)C)c1cc(cc(c1)Cl)Cl
comp137 c1ncc(n1c1ccc(cc1)Cl)c1c(cc(cc1F)F)F
comp159 c1cn(c(n1)C1CC1)C
comp154 c1cn(c(n1)C)C
comp164 c1cn2c(n1)[C@H]([C@H]([C@@H]([C@H]2OCc1ccccc1)OCc1ccccc1)OCc1ccccc1)OCc1ccccc1
comp163 c1cn(cn1)C(c1ccccc1)(c1ccccc1Cl)c1ccccc1
comp168 c1cn(c(n1)c1ccccn1)c1ccc(cc1)OC
comp169 c1cn(c(n1)C)c1cc(=O)n(nc1)C
comp401 c1(cn(cn1)C1COC1)C(=O)OCC
