comp274 c1ccccc1C12CC(C1)(C2)c1ccccc1
comp276 c1cc(ccc1)CO/N=C(/C(=O)OC)\Cc1ccc(c(c1)Oc1ccc(cc1Br)C/C(=N\OCc1ccccc1)/C(=O)O)O
comp277 c1(c(c(ccc1)N)C1=NOCC1)C
comp428 c1(ccc2c(c1)CCN(CC2)C(=O)C(F)(F)F)S(=O)(=O)F
comp488 c1cccc(c1)N(=O)=O
comp489 c1c(ccc(c1)N(=O)=O)C
comp490 c1c(ccc(c1)N(=O)=O)N
comp493 c1c(ccc(c1)N(=O)=O)F
comp494 c1cccc(c1)C=O
comp495 c1cccc(c1)F
comp496 c1cccc(c1F)C(Cl)(Cl)Cl
comp497 c1cccc(c1Cl)C(Cl)(Cl)Cl
comp498 c1(ccc2c(c1)NCCC2)C(F)F
comp499 c1(cccc(c1)C(F)F)N(=O)=O
comp500 c1(cc(cc(c1)CBr)OCC)OCC
comp501 c1(ccc2c(c1)OCO2)CCl
comp502 c1cc(cc(c1)CBr)O[Si](C)(C)C(C)(C)C
comp503 c1(cc(cc(c1)CBr)OC)OC
comp504 c1cccc(c1)C
comp509 c1(cccc(c1[Si](C)(C(C)(C)C)C)O)O
comp511 c1(c(ccc(c1)[Si](c1ccc(c(c1)N(C)C)F)(C)C)F)N(C)C
comp514 c1(c(cc2c(c1)CCN(CC2c1ccccc1)C)O)O
comp515 c1(c(cc2c(c1)CCN(CC2c1ccccc1)CC=C)O)O
comp516 c1cc(ccc1C(F)(F)F)C
comp517 c1cc(ccc1C(F)(F)F)Cl
comp518 c1c(cccc1C(F)(F)F)N
comp519 c1(ccccc1C(F)(F)F)N
comp520 c1(cccc(c1)C(F)(F)F)C(=O)O
comp521 c1(cccc(c1C(F)(F)F)F)N
comp522 c1c(c(ccc1C(F)(F)F)B1OC(=O)CN(CC(=O)O1)C)F
comp523 c1(c(cc2c(c1)NCCC[C@@H]2N(c1nnn(n1)C)Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C)C(F)(F)F
comp526 c1cc(ccc1NC(=O)C)C
comp529 c1cc(cc(c1)NC(=O)C(=O)OCC)OC
comp530 c1(ccc2c(c1)OC(O2)(F)F)NC(=O)C(F)(F)F
comp531 c1ccc(cc1)Cn1cc(nn1)c1ccc(cc1)NC(=O)C
comp532 c1ccc2c(c1/C=C/C(=O)OCC)C(=O)C(=O)N2C
comp534 c1cccc(c1N)C
comp535 c1c(cc(cc1N)C)C
comp536 c1cc(ccc1N)C#N
comp537 c1cccc(c1N)C#N
comp539 c1cc(ccc1N)OC
comp540 c1cc(ccc1N)CCO
comp541 c1cccc(c1N)OC
comp542 c1cc(ccc1N)CC#N
comp543 c1cc(ccc1N)C(=O)C
comp546 c1cc(ccc1N)S(F)(F)(F)(F)F
comp549 c1cc(ccc1N)OC(=O)C
comp550 c1cc(ccc1N)OS(=O)(=O)C
comp551 c1c(cc2c(c1)C(=O)CCC2)N
comp552 c1cccc(c1)C(=O)c1ccccc1N
comp553 c1cc(cc(c1N)C)SCCO
comp554 c1(ccc(cc1N)C)OC(F)(F)F
comp555 c1cccc(c1N)C1(OCCO1)C
comp556 c1cccc(c1N)/[N+](/[O-])=N\C(C)C
comp558 c1cc(ccc1N)C1CCN(CC1)OC
comp559 c1cc(ccc1N)C1=CCN(CC1)OC
comp560 c1cc(ccc1N)C(C(F)(F)F)(C(F)(F)F)F
comp562 c1(ccc2c(c1N)OCO2)Cl
comp563 c1cc(ccc1N)OS(=O)(=O)c1ccc(cc1)C
comp564 c1cc(cc(c1N)/[N+](/[O-])=N\C(C)(C)C)C
comp566 c1ccc2c(c1N)C(=O)NC2=O
comp567 c1ccc2c(c1)oc(n2)c1ccc(cc1)N
comp568 c1cccc(c1N)C(=O)C(F)(F)C(F)(F)F
comp569 c1cc(ccc1N)C1CC(=O)NC(=O)C1
comp570 c1ccc2c(c1)[se]c(n2)c1ccc(c(c1)C)N
comp572 c1cc(ccc1N)CCCCN1C(=O)CCC1=O
comp571 c1(cccc(c1)SC(F)(F)C(F)(F)C(F)(F)F)N
comp573 c1cc(ccc1N)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)F)F
comp575 c1(cc(ccc1N)C(C(F)(Cl)F)(C(F)(F)F)F)OC(F)F
comp576 c1(cc(ccc1N)C(C(F)(Br)F)(C(F)(F)F)F)OC(F)F
comp577 c1(cc(ccc1N)C(C(F)(F)F)(C(F)(F)F)O)OC(F)(F)F
comp578 c1(cc(ccc1N)C(C(F)(F)F)(C(F)(F)F)F)SC(F)(F)F
comp579 c1(c(ccc(c1)CCNC(=O)C(F)(F)F)OC)N
comp582 c1c(nnc(c1)c1ccc(cc1)N)OC1CN2CCC1CC2
comp583 c1(c(c(cc(c1)N)C)Cc1nc(c(cc1)OCOC)C1CCCCC1)C
comp584 c1(c(ccc(c1)N)F)[C@]1(NC(N(S(=O)(=O)C1)C)NC(=O)OC(C)(C)C)C
comp492 c1c(ccc(c1)N(=O)=O)C=O
comp505 c1ccccc1O
comp524 c1ccccc1NC(=O)C
comp528 c1(ccc2c(c1)CCC2=O)NC(=O)C
comp545 c1cccc(c1N)C(=O)N
comp547 c1(cc(ccc1)S(F)(F)(F)(F)F)N
comp561 c1ccc(cc1N)S(=O)C(F)(F)F
comp565 c1(cccc(c1)COCC(C(F)(F)F)(F)F)N
comp508 c1c(cc(cc1[Si](C)(C)C)O)O
comp533 c1(ccc2c(c1C)C(=O)C(=O)N2C)/C=C/C(=O)OCC
