comp21 c1c(ccnc1)N(C)C
comp22 c1(cccnc1N)C=O
comp23 c1cnc(c(O[C@@H](c2cc(ccc2C(F)(F)F)Cl)C)c1)N
comp24 c1nc(cc(c1)c1cnccc1)NC(=O)NCC
comp68 c1cccc(n1)N
comp48 c1(cccnc1)N(C)C
comp70 c1cccc(n1)OC
comp69 c1c(ccnc1N)C(F)(F)F
comp71 c1cc(nc2c1C(=O)CCN2)OC
comp73 c1c(nn(c1c1cnc(cc1)N)C)C(F)(F)F
comp75 c1cnc(cc1c1n(c(c(n1)c1ccc(cc1Cl)Cl)C(=O)OC)COCC[Si](C)(C)C)NC(=O)C
comp76 c1nccc(c1)C(=O)c1cccnc1N
comp124 c1conc1CNc1c(ncc(c1)F)C(=O)OCC
comp128 c1(cccnc1C(=O)OCC)NC1COC1
comp129 c1ncc(cc1)N1CCOCC1
comp130 c1ccc(cn1)O
comp215 C1(CN(CC(O1)C)c1cccc(n1)C(=O)OC)C
comp216 c1c(cc(nc1n1cccn1)n1cccn1)N
comp217 c1cc(cnc1C(F)(F)F)CNc1cccc(n1)Cl
comp218 c1cnc(cc1OC)N1C[C@H](N(CC1)C(=O)OC(C)(C)C)C
comp221 n1c(cc(cc1)Oc1c(nccc1)C)N
comp223 c1c(cc(nc1)OC)N
comp224 c1c(cc(nc1)N)C#N
comp225 c1c(ccnc1NN(=O)=O)C
comp228 c1cc(cc(n1)OC)CCO
comp229 c1ccc(nc1)N(Cc1ccccc1)C(F)(F)F
comp234 c1c(ccc(c1)CSc1ccnc(c1)N)OC
comp236 c1ccc(nc1OC)OC
comp238 [N+]1([N-]C2=NC=CC=C2)=CC=CC=C1
comp237 c1ccc(cc1C(F)(F)F)c1cccc(n1)OC
comp239 c1cc(c(nc1)OC)N
comp241 c1(ccc(nc1)NC(=O)OC(C)(C)C)N
comp242 c1cc(c(nc1)C(=O)N(C)OC)N
comp243 c1(ccc(nc1)OC(C(F)(F)F)C(F)(F)F)N
comp244 c1(c(cc(nc1)c1cccnc1)C(=O)OCC)O
comp247 c1(ccc(nc1)OC)N
comp248 n1nccc(c1C)Oc1cccnc1N
comp249 c1(nc(c(cc1)N(=O)=O)N)c1cnc(o1)[Si](C(C)C)(C(C)C)C(C)C
comp250 c1(nc(c(cc1)N(=O)=O)N)c1ccncc1Cl
comp252 c1(ccc(nc1)C(F)(F)F)N
comp255 c1ccncc1N
comp253 c1cc(c(nc1)OC)OCC
comp256 n1cccc(c1N)OC(C)c1cc(cc2c1nccc2)F
comp257 n1cccc(c1N)OC(C)c1cc(ccc1n1nccc1)F
comp258 n1cccc(c1N)O[C@H](C)c1cc(ccc1n1nccn1)F
comp259 n1cccc(c1N)OC(C)c1cc(cc2c1ncs2)F
comp296 c1(cccc(n1)N)F
comp297 c1(cc(cc(n1)N)C(F)(F)F)C#N
comp298 c1cc(cc(n1)NC(=O)NC)F
comp391 n1ccc(cc1N)C(F)F
comp395 n1cccc(c1N)C(F)F
comp400 c1(ccc(nc1)N)P(=O)(C(C)(C)C)C(C)(C)C
comp420 c1c(ccnc1N)B1OC(C(O1)(C)C)(C)C
comp74 c1c(cc2c(c1)N(C(=O)C12COc2c1cccn2)CCCCC)Cl
comp219 c1ccc(nc1OC)N1CCN(CC1)C(=O)OC(C)(C)C
comp220 c1(cc(ccn1)N)N
comp235 c1ccc(nc1N)OC
comp245 c1(c(cc(nc1)c1ccco1)C(=O)OCC)O
comp246 c1(c(cc(nc1)c1cccs1)C(=O)OCC)O
comp251 COC(C=C1)=CC=C1CN(CC2=CC=C(OC)C=C2)C3=C(N(=O)=O)C=CN=C3C4=NC=CO4
comp254 C1CN(CCCN(C1)c1ncc(cc1)OC=C)C(=O)OC(C)(C)C
