comp77 c1nccc(c1)c1ccc(=O)[nH]c1
comp78 c1nccc(c1)c1ccc(=O)[nH]c1C
comp79 c1cc(c(c(=O)[nH]1)C(=O)OCC)OC
comp80 c1c([nH]c(=O)c(c1)Br)C
comp81 c1cc(c(=O)n(c1)C)C
comp82 c1(ccc(=O)[nH]c1C)C(=O)CC
comp83 c1(ccc(=O)[nH]c1C(=O)OC)C
comp84 c1(=O)[nH]cc(cc1)c1ncccn1
comp213 c1ccc(cc1)Nc1cc(=O)[nH]c(c1)CCc1ccccc1
comp214 c1ccc(cc1)Sc1cc(=O)[nH]c(c1)CCc1ccccc1
comp227 c1(cccc(=O)[nH]1)N
comp230 c1cc(cc(=O)[nH]1)N
comp226 c1cccc(=O)[nH]1
comp233 c1c(ccc(c1F)COc1cc(=O)[nH]c(c1)C)F
comp398 c1(ccc([nH]c1=O)C(F)F)C(=O)OC
comp427 c1(ccc[nH]c1=O)S(F)(F)(F)(F)F
