comp25 c1cnc(nc1)N
comp26 n1ccc(nc1N)c1ccccc1
comp27 c1nc(nc(c1)OC)N
comp28 c1cnc(nc1c1c(n[nH]c1)C(C)C)SC
comp29 n1c(cc(nc1)N1CCC(CC1)C(=O)OCC)Oc1cc(nn1C)C(F)(F)F
comp85 n1ccc(nc1N)c1cnc(n1C(C)C)C
comp86 c1c(cn2c(c1)ncc2c1nccc(n1)NCC(C)(C)C)C#N
comp87 n1c(nc(cc1)N1CCCCC1)C(C)C
comp88 n1cccnc1
comp89 n1ccc(nc1)N
comp90 n1c(cc(nc1)NC)N1CCOCC1
comp91 c1(nc(ncc1)N)N
comp92 n1cnc(cc1)N(C)C
comp93 n1ccc(nc1N)c1[nH]c(c2ccccc2)c(C(=O)OCC)c1
comp94 n1ccc(nc1N)c1[nH]c(c2ccccc2)c(C(=O)N)c1
comp96 n1ccc(nc1N)c1cn(c2c1cccc2)C
comp97 c1(nc(ncc1)N)C
comp98 n1ccc(nc1Nc1ccc(cc1)C#N)Nc1c(cc(cc1C)/C=C/C#N)C
comp324 c1(ncc2c(c1)c(cn2C(C)C)c1ccnc(n1)N)Br
comp390 n1ccc(nc1N)C(F)F
comp593 NC1=NC(C2=CC=CC=C2)=CC(C3=CC=C(OCO4)C4=C3)=N1
comp597 N#CC1=NC=CC(OC(C=C2)=CC=C2NC3=NC(N)=NC(C4=CC=CC=C4)=C3)=C1
