comp353 c1ccc2c(c1)[nH]nc2
comp354 c1(ccc2c(c1)[nH]nc2)O
comp355 c1c(cc2c(c1)[nH]nc2)C#N
comp356 c1c(cc2c(c1)[nH]nc2)Br
comp357 c1c(cc2c(c1)[nH]nc2)F
comp358 c1c(cc2c(c1)[nH]nc2)C=O
comp359 c1ccc2c(c1I)[nH]nc2
comp360 c1ccc2c(c1C#N)[nH]nc2
comp361 c1c(cc2c(c1)[nH]nc2)C(=O)O
comp362 c1c(cc2c(c1)[nH]nc2)N(=O)=O
comp363 c1cc(c2c(c1)[nH]nc2)N(=O)=O
comp364 c1ccc2c(c1)n(nc2)Cc1ccccc1
comp365 c1(ccc2c(c1)[nH]nc2)C(=O)OC
comp366 c1c(cc2c(c1C)[nH]nc2)C(=O)O
comp370 c1(ccc2c(c1)n(nc2)c1ccc(cc1)F)O
comp371 c1(ccc2c(c1C(=O)OC)[nH]nc2)N
comp372 c1(ccc2c(c1C(=O)OC)[nH]nc2)F
comp374 c1(ccc2c(c1)n(nc2)C[C@H](C)O[Si](C(C)(C)C)(C)C)O
comp375 c1c(cc2c(c1)[nH]nc2)CC1CS(=O)(=O)C[C@@H]([C@H]1O)NC(=O)OC(C)(C)C
comp383 O=[N+]([O-])C1=C2NN=CC2=CC=C1
comp367 c1c(cc2c(c1)[nH]nc2)O[Si](C)(C)C(C)(C)C
comp368 c1ccc2c(c1)[nH]nc2C(F)(F)F
comp369 c1cc(c2c(c1)n(nc2)C(=O)C)N
comp373 c1(ccc2c(c1)[nH]nc2)O[Si](C(C)(C)C)(c1ccccc1)c1ccccc1
